stop_id,stop_name,location_type,parent_station,stop_lat,stop_lon
de:09373:17115:0:1,Altenhof (b.NM) H.-Stehr-Str.,,,11.46652748,11.46652748
de:09373:17116:0:1,Altenhof (b.NM) Joh.-Mois-Ring,,,11.46639273,11.46639273
de:09373:17117:0:1,Altenhof (b.NM) Koppenmühlweg,,,11.46565611,11.46565611
de:09373:17119:0:1,Altenhof (b.NM) Altenhofweg,,,11.46874632,11.46874632
de:09373:17120:0:1,Neumarkt Fa. Aptiv,,,11.44509368,11.44509368
de:09373:17123:0:1,Abzw. Friedlmühle,,,11.48899434,11.48899434
de:09373:17126:0:1,Helena,,,11.50519097,11.50519097
de:09373:17127:0:1,Höhenberg im Tal (b.NM),,,11.48725161,11.48725161
de:09373:17127:0:2,Höhenberg im Tal (b.NM),,,11.4870989,11.4870989
de:09373:17129:0:1,Höhenberg (b.NM) Gotenstr.,,,11.49733969,11.49733969
de:09373:17131:0:2,Abzw. Holzheim (b.NM),,,11.45972723,11.45972723
de:09373:17133:0:1,Holzheim (b.NM) Am Sand,,,11.4587301,11.4587301
de:09373:17134:0:1,Holzheim (b.NM) Triftstr.,,,11.45609804,11.45609804
de:09373:17135:0:1,Holzheim (b.NM) Heiligenwiesen,,,11.45661906,11.45661906
de:09373:17136:0:1,Holzheim (b.NM) Schule,,,11.45438226,11.45438226
de:09373:17136:0:2,Holzheim (b.NM) Schule,,,11.45432836,11.45432836
de:09373:17138:0:1,Holzheim (b.NM) Maienbreite,,,11.44831863,11.44831863
de:09373:17138:0:2,Holzheim (b.NM) Maienbreite,,,11.44821083,11.44821083
de:09373:17141:0:1,Iberlsmühle,,,11.50616115,11.50616115
de:09373:17143:0:2,Ischhofen Feuerwehrhaus,,,11.5177584,11.5177584
de:09373:17144:0:1,Fuchsberg,,,11.5059725,11.5059725
de:09373:17145:0:1,Karhof,,,11.51814467,11.51814467
de:09373:17148:0:1,Lähr Fa. Klebl,,,11.48436802,11.48436802
de:09373:17148:0:2,Lähr Fa. Klebl,,,11.48428717,11.48428717
de:09373:17149:0:1,Lähr,,,11.48918299,11.48918299
de:09373:17150:0:1,Koppenmühle,,,11.46562018,11.46562018
de:09373:17151:0:1,Lampertshofen,,,11.55086132,11.55086132
de:09373:17153:0:1,Lippertshofen Ort,,,11.54931621,11.54931621
de:09373:17154:0:1,Pelchenhofen,,,11.53096363,11.53096363
de:09373:17157:0:1,Rittershof Ahntweg,,,11.40810105,11.40810105
de:09373:17159:0:1,Rittershof Kapellenweg,,,11.40519949,11.40519949
de:09373:17161:0:2,Rödelberg,,,11.51067967,11.51067967
de:09373:17163:0:1,Schafhof (b.NM),,,11.4834697,11.4834697
de:09373:17166:0:2,Stauf (b.NM) Kirche,,,11.43359524,11.43359524
de:09373:17167:0:1,Stauf (b.NM) A.-Senefelder-S.,,,11.44261432,11.44261432
de:09373:17168:0:1,Stauf (b.NM) Moosweiherstr.,,,11.43486186,11.43486186
de:09373:17168:0:2,Stauf (b.NM) Moosweiherstr.,,,11.43500559,11.43500559
de:09373:17169:0:2,Stauf (b.NM) Renauweg,,,11.43074758,11.43074758
de:09373:17171:0:1,Pölling Bergstr.,,,11.41409281,11.41409281
de:09373:17173:0:2,Pölling Stadtweg,,,11.42787297,11.42787297
de:09373:17174:0:1,Pölling Fliederweg,,,11.42440547,11.42440547
de:09373:17174:0:2,Pölling Fliederweg,,,11.42374072,11.42374072
de:09373:17175:0:1,Pölling Gasthof Feihl,,,11.41658115,11.41658115
de:09373:17176:0:1,Pölling Marienbader Str.,,,11.42127934,11.42127934
de:09373:17177:0:2,Neumarkt Pöllinger Höhe,,,11.44024277,11.44024277
de:09373:17178:0:1,Pölling Nibelungenstr.,,,11.42431564,11.42431564
de:09373:17179:0:1,Pölling Siedlerstr.,,,11.41757828,11.41757828
de:09373:17180:0:1,Pölling Siegfriedstr.,,,11.4279628,11.4279628
de:09373:17183:0:1,Woffenbach Am Letten,,,11.42945401,11.42945401
de:09373:17185:0:1,Woffenbach BRK-Altenheim,,,11.43259811,11.43259811
de:09373:17186:0:1,Woffenbach Kirche,,,11.43441271,11.43441271
de:09373:17187:0:1,Woffenbach Kreuzstr.,,,11.4355356,11.4355356
de:09373:17187:0:2,Woffenbach Kreuzstr.,,,11.43561645,11.43561645
de:09373:17188:0:1,Woffenbach Rebhuhnstr.,,,11.43787122,11.43787122
de:09373:17188:0:2,Woffenbach Rebhuhnstr.,,,11.43797902,11.43797902
de:09373:17189:0:1,Woffenbach Meuselstr.,,,11.43232861,11.43232861
de:09373:17189:0:2,Woffenbach Meuselstr.,,,11.43245438,11.43245438
de:09373:17190:0:1,Woffenbach Tyrolsberger Str.,,,11.43051402,11.43051402
de:09373:17191:0:1,Woffenbach Schloßstr.,,,11.44088058,11.44088058
de:09373:17191:0:2,Woffenbach Schloßstr.,,,11.44108719,11.44108719
de:09373:17192:0:1,Woffenbach Schule,,,11.43855394,11.43855394
de:09373:17192:0:2,Woffenbach Schule,,,11.43866174,11.43866174
de:09373:17193:0:1,Abzw. Voggenthal,,,11.5294904,11.5294904
de:09373:17194:0:1,Woffenbach Zentrum,,,11.43514034,11.43514034
de:09373:17194:0:2,Woffenbach Zentrum,,,11.43541882,11.43541882
de:09373:17196:0:1,Wolfstein Hl. Kreuz,,,11.48979384,11.48979384
de:09373:17197:0:1,Voggenthal Ort,,,11.52800818,11.52800818
de:09373:17198:0:1,Wolfstein Siedlung,,,11.49016215,11.49016215
