service_id,date,exception_type
UH+01#1,20251028,2
UH+01#1,20251029,2
UH+01#1,20251030,2
UH+01#1,20251031,2
UH+01#1,20251103,2
UH+01#1,20251104,2
UH+01#1,20251105,2
UH+01#1,20251106,2
UH+01#1,20251107,2
UH+01#1,20251110,2
UH+01#1,20251111,2
UH+01#1,20251112,2
UH+01#1,20251113,2
UH+01#1,20251114,2
UH+01#1,20251117,2
UH+01#1,20251118,2
UH+01#1,20251119,2
UH+01#1,20251120,2
UH+01#1,20251121,2
UH+01#1,20251124,2
UH+01#1,20251125,2
UH+01#1,20251126,2
UH+01#1,20251127,2
UH+01#1,20251128,2
UH+01#2,20250806,2
UH+01#2,20250807,2
UH+01#2,20250808,2
UH+01#2,20250811,2
UH+01#2,20250812,2
UH+01#2,20250813,2
UH+01#2,20250814,2
UH+01#2,20250815,2
UH+01#2,20250818,2
UH+01#2,20250819,2
UH+01#2,20250820,2
UH+01#2,20250821,2
UH+01#2,20250822,2
UH+01#2,20250825,2
UH+01#2,20250826,2
UH+01#2,20250827,2
UH+01#2,20250828,2
UH+01#2,20250829,2
UH+01#2,20250901,2
UH+01#2,20250902,2
UH+01#2,20250903,2
UH+01#2,20250904,2
UH+01#2,20250905,2
UH+01#2,20250908,2
UH+01#2,20250909,2
UH+01#2,20250910,2
UH+01#2,20250911,2
UH+01#2,20250912,2
UH+01#2,20250915,2
UH+01#2,20251003,2
UH+01#2,20251103,2
UH+01#2,20251104,2
UH+01#2,20251105,2
UH+01#2,20251106,2
UH+01#2,20251107,2
UH+01#2,20251119,2
UH+01#3,20250806,2
UH+01#3,20250807,2
UH+01#3,20250808,2
UH+01#3,20250811,2
UH+01#3,20250812,2
UH+01#3,20250813,2
UH+01#3,20250814,2
UH+01#3,20250815,2
UH+01#3,20250818,2
UH+01#3,20250819,2
UH+01#3,20250820,2
UH+01#3,20250821,2
UH+01#3,20250822,2
UH+01#3,20250825,2
UH+01#3,20250826,2
UH+01#3,20250827,2
UH+01#3,20250828,2
UH+01#3,20250829,2
UH+01#3,20250901,2
UH+01#3,20250902,2
UH+01#3,20250903,2
UH+01#3,20250904,2
UH+01#3,20250905,2
UH+01#3,20250908,2
UH+01#3,20250909,2
UH+01#3,20250910,2
UH+01#3,20250911,2
UH+01#3,20250912,2
UH+01#3,20250915,2
UH+01#3,20250916,2
UH+01#3,20250917,2
UH+01#3,20250918,2
UH+01#3,20250919,2
UH+01#3,20250922,2
UH+01#3,20250923,2
UH+01#3,20250924,2
UH+01#3,20250925,2
