Bauhauptgewerbe seit 2019;;;;;;;;;;;;;;;;
;Gemeinden (einschl. gemeindefreie Gebiete);;;;;;;;;;;;;;;
;;Berichtsjahr;;;;;;;;;;;;;;
;;2019;;;2020;;;2021;;;2022;;;2023;;
;;Betriebe des Bauhauptgewerbes;Beschäftigte der Betriebe des Bauhauptgewerbes;Gesamtumsatz d.Vj.d.Betriebe des Bauhauptgewerbes;Betriebe des Bauhauptgewerbes;Beschäftigte der Betriebe des Bauhauptgewerbes;Gesamtumsatz d.Vj.d.Betriebe des Bauhauptgewerbes;Betriebe des Bauhauptgewerbes;Beschäftigte der Betriebe des Bauhauptgewerbes;Gesamtumsatz d.Vj.d.Betriebe des Bauhauptgewerbes;Betriebe des Bauhauptgewerbes;Beschäftigte der Betriebe des Bauhauptgewerbes;Gesamtumsatz d.Vj.d.Betriebe des Bauhauptgewerbes;Betriebe des Bauhauptgewerbes;Beschäftigte der Betriebe des Bauhauptgewerbes;Gesamtumsatz d.Vj.d.Betriebe des Bauhauptgewerbes
;;Anzahl;Anzahl;Tsd. EUR;Anzahl;Anzahl;Tsd. EUR;Anzahl;Anzahl;Tsd. EUR;Anzahl;Anzahl;Tsd. EUR;Anzahl;Anzahl;Tsd. EUR
9373;    Neumarkt i.d.OPf. (Lkr);203;4741;1380475;205;4878;1372007;217;4907;1738633;231;5019;1354320;238;5069;1865478
9374;    Neustadt a.d.Waldnaab (Lkr);111;1540;211798;109;1551;214147;114;1587;226961;124;1609;249711;124;1630;270017
9375;    Regensburg (Lkr);185;1935;248323;182;1945;287142;192;2152;319090;198;2141;331615;200;2127;340859
9376;    Schwandorf (Lkr);164;1698;251046;156;1824;285613;171;1861;341980;187;1962;285145;188;1898;315004
9377;    Tirschenreuth (Lkr);116;1643;247840;115;1661;249206;117;1756;273853;119;1725;240398;119;1786;295515
9461;    Bamberg (Krfr.St);31;509;50561;33;554;56384;30;546;53008;32;558;64713;31;531;59920
9462;    Bayreuth (Krfr.St);29;1393;248811;27;1430;238136;30;1300;239080;36;1355;238805;37;1384;269146
9463;    Coburg (Krfr.St);18;291;24665;18;301;26252;22;329;30911;19;306;28491;20;305;27989
9464;    Hof (Krfr.St);14;510;50227;16;554;51999;19;569;58972;20;654;60294;21;744;62799
9471;    Bamberg (Lkr);147;1628;178300;150;1638;188249;164;1742;214129;163;1728;211369;170;1805;240823
9472;    Bayreuth (Lkr);122;871;98384;122;886;96137;120;858;108051;132;910;110350;136;924;115820
9473;    Coburg (Lkr);59;781;110175;61;833;126295;60;845;113576;66;804;115920;72;825;138415
9474;    Forchheim (Lkr);102;867;110176;104;1156;207011;114;1214;188176;122;1182;196276;121;1168;204339
9475;    Hof (Lkr);121;1220;152773;115;1172;144432;124;1228;170687;125;1218;169293;125;1182;182432
9476;    Kronach (Lkr);65;806;102951;63;799;112778;64;767;107977;67;759;115186;67;767;109662
9477;    Kulmbach (Lkr);84;1013;133816;83;1019;147992;97;1179;179922;103;1181;183801;106;1173;189462
9478;    Lichtenfels (Lkr);54;1338;276543;53;1430;272223;54;1430;346429;55;1415;335734;60;1384;267856
9479;    Wunsiedel i.Fichtelgebirge (Lkr);60;709;79249;58;692;78917;62;685;88013;62;672;89940;61;653;95062
9561;    Ansbach (Krfr.St);13;153;15179;14;177;21052;14;188;19656;15;191;19354;12;177;19884
9562;    Erlangen (Krfr.St);28;716;166560;27;734;129778;27;856;184447;26;861;233604;30;966;241789
9563;    Fürth (Krfr.St);57;613;67691;56;615;88311;67;666;106196;71;694;98537;71;762;121169
9564;    Nürnberg (Krfr.St);207;3613;506290;213;3901;534633;233;4172;644455;256;4359;659172;283;4529;689266
9565;    Schwabach (Krfr.St);18;242;19957;19;461;23972;19;522;52994;20;582;80949;19;575;93852
9571;    Ansbach (Lkr);244;3435;465521;249;3374;464609;248;3401;509765;268;3411;486403;274;3399;518999
9572;    Erlangen-Höchstadt (Lkr);94;781;81316;95;804;91324;96;864;101695;105;891;114998;105;890;117355
9573;    Fürth (Lkr);98;993;104793;107;1000;128164;110;1047;207442;111;1044;189123;116;1012;143056
9574;    Nürnberger Land (Lkr);151;1534;233128;147;1504;216948;159;1577;248363;150;1507;275317;157;1505;273398
9575;    Neustadt a.d.Aisch-Bad Windsheim (Lkr);123;1419;190972;123;1414;205367;126;1427;215467;130;1454;211946;138;1444;244972
9576;    Roth (Lkr);144;1542;255600;138;1555;268025;155;1627;310365;158;1602;301069;154;1591;312066
9577;    Weißenburg-Gunzenhausen (Lkr);121;1030;118055;117;1061;131018;121;1080;137506;128;1113;139375;132;1142;155128
9661;    Aschaffenburg (Krfr.St);47;1220;314825;44;1185;252510;41;1114;265035;48;1124;285432;47;1070;286084
9662;    Schweinfurt (Krfr.St);19;940;203144;20;1008;202940;22;1100;263268;24;1161;283538;26;1220;336968
9663;    Würzburg (Krfr.St);37;578;69023;35;587;85787;34;566;54817;39;625;62652;38;595;71070
9671;    Aschaffenburg (Lkr);190;1450;174280;194;1354;158217;193;1405;168353;199;1429;170219;193;1408;189155
9672;    Bad Kissingen (Lkr);121;2516;465378;125;2621;469748;122;2629;522773;127;2666;490580;129;2647;522446
9673;    Rhön-Grabfeld (Lkr);73;1065;164082;80;1118;165858;82;1158;167290;85;1152;148189;87;1132;162374
9674;    Haßberge (Lkr);80;777;89542;82;820;97321;89;870;114261;91;863;114056;87;834;108838
9675;    Kitzingen (Lkr);86;790;112592;88;815;115145;91;876;129107;94;941;134240;97;980;154493
9676;    Miltenberg (Lkr);139;1216;185875;146;1231;197576;147;1312;212347;155;1328;224333;156;1303;259111
9677;    Main-Spessart (Lkr);123;1456;207424;125;1454;214100;135;1610;224684;140;1612;241569;142;1569;260777
9678;    Schweinfurt (Lkr);97;978;118150;99;930;118140;98;933;139644;103;936;127714;102;926;141584
9679;    Würzburg (Lkr);135;1347;152658;142;1312;155671;142;1509;200614;155;1543;193672;150;1508;202053
9761;    Augsburg (Krfr.St);129;1833;236423;140;1850;264253;129;1881;260579;137;1945;213186;138;1948;271822
9762;    Kaufbeuren (Krfr.St);28;1190;169924;37;1244;182043;39;1250;188825;43;1324;182834;40;1286;206602
9763;    Kempten (Allgäu) (Krfr.St);33;301;27882;32;283;25900;32;279;25842;32;281;27924;31;297;31478
9764;    Memmingen (Krfr.St);27;1677;248800;30;1775;295715;31;1826;299878;32;1726;296500;36;1662;301238
9771;    Aichach-Friedberg (Lkr);201;1706;220279;203;1674;241211;209;1679;252478;218;1725;235367;225;1743;273545
9772;    Augsburg (Lkr);312;3287;422012;331;3380;437290;342;3579;511861;357;3634;504357;364;3529;520963
9773;    Dillingen a.d.Donau (Lkr);121;1696;244027;124;1702;261546;127;1723;259913;130;1810;254681;133;1859;308883
9774;    Günzburg (Lkr);167;2595;351544;170;2660;378085;171;2640;429019;180;2674;401383;189;2663;461698
9775;    Neu-Ulm (Lkr);111;1687;301938;110;1761;297367;104;1705;322209;111;1763;342718;111;1735;384769
9776;    Lindau (Bodensee) (Lkr);111;740;81675;116;788;89541;118;814;104878;121;808;97984;122;824;117282
9777;    Ostallgäu (Lkr);218;2902;393919;220;2986;390113;237;3078;480094;250;3107;430095;252;3103;490379
