Tourismus seit 2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9174;    Dachau (Lkr);55;2483;150965;30491;120474;358043;66554;291489;2,4;2,2;2,4;–;–;–;54;2481;152131;30651;121480;348874;65468;283406;2,3;2,1;2,3;–;–;–;52;2123;66704;8472;58232;188513;25373;163140;2,8;3;2,8;–;–;–;51;2142;63016;8005;55011;181553;27558;153995;2,9;3,4;2,8;–;–;–;49;2176;136597;21033;115564;358280;56416;301864;2,622898014;2,682261209;2,612093732;–;–;–;56;3266;198640;38262;160378;486800;94258;392542;2,450664519;2,463488579;2,447605033;–;–;–
9175;    Ebersberg (Lkr);58;2791;211292;44699;166593;438610;94683;343927;2,1;2,1;2,1;–;–;–;57;2806;214107;47937;166170;445941;100275;345666;2,1;2,1;2,1;–;–;–;54;2659;98779;17565;81214;240349;40560;199789;2,4;2,3;2,5;–;–;–;54;2646;97894;15334;82560;247935;39584;208351;2,5;2,6;2,5;–;–;–;56;2763;173773;38893;134880;386557;82106;304451;2,224494024;2,111073972;2,257198992;–;–;–;56;2745;191875;43684;148191;404095;87247;316848;2,106032573;1,997230107;2,138105553;–;–;–
9176;    Eichstätt (Lkr);131;5403;458726;84651;374075;889480;139165;750315;1,9;1,6;2;21990;99119;4,5;138;5614;462829;86270;376559;908664;153576;755088;2;1,8;2;22888;99153;4,3;130;5154;266814;24809;242005;604859;60707;544152;2,3;2,4;2,2;15355;74430;4,8;131;5573;261354;26885;234469;610956;65375;545581;2,3;2,4;2,3;14897;72327;4,9;123;5422;386938;66690;320248;791408;116215;675193;2,045309584;1,742615085;2,108344158;18628;81680;4,4;125;5552;415308;80281;335027;843893;135944;707949;2,031969045;1,693352101;2,113110287;18940;79645;4,2
9177;    Erding (Lkr);76;6676;878834;340905;537929;1315380;496392;818988;1,5;1,5;1,5;–;–;–;95;7216;916180;375430;540750;1398546;544305;854241;1,5;1,4;1,6;–;–;–;91;5701;368252;136782;231470;653910;209769;444141;1,8;1,5;1,9;–;–;–;86;5814;324394;107500;216894;593951;169787;424164;1,8;1,6;2;–;–;–;89;7131;669659;223967;445692;1125086;363056;762030;1,680087925;1,621024526;1,709768181;–;–;–;92;7426;788818;274227;514591;1275200;436350;838850;1,61659597;1,591199991;1,630129559;–;–;–
9178;    Freising (Lkr);82;5851;668169;243999;424170;1015029;337455;677574;1,5;1,4;1,6;–;–;–;90;6362;650258;225759;424499;1066010;343080;722930;1,6;1,5;1,7;–;–;–;85;5808;245744;63814;181930;517919;130358;387561;2,1;2;2,1;–;–;–;90;7014;247784;65898;181886;509998;141655;368343;2,1;2,1;2;–;–;–;92;7500;584948;207080;377868;1024640;338002;686638;1,751677072;1,63222909;1,817137201;–;–;–;91;7699;664182;229880;434302;1142463;373888;768575;1,720105333;1,626448582;1,769678703;–;–;–
9179;    Fürstenfeldbruck (Lkr);47;2092;140558;24105;116453;309734;57498;252236;2,2;2,4;2,2;–;–;–;45;2024;130062;23225;106837;297691;56279;241412;2,3;2,4;2,3;–;–;–;44;2022;65562;7899;57663;190559;31731;158828;2,9;4;2,8;–;–;–;49;2464;80462;11375;69087;236108;41329;194779;2,9;3,6;2,8;–;–;–;44;2284;147836;29623;118213;351417;71956;279461;2,377073243;2,429058502;2,364046255;–;–;–;48;2668;182769;40666;142103;405830;90432;315398;2,22045314;2,22377416;2,219502755;–;–;–
9180;    Garmisch-Partenkirchen (Lkr);515;19102;1192002;283515;908487;3544760;661443;2883317;3;2,3;3,2;178936;1195219;6,7;551;19071;1150458;268602;881856;3534834;634209;2900625;3,1;2,4;3,3;185007;1213127;6,6;542;18838;727519;65709;661810;2748824;257643;2491181;3,8;3,9;3,8;155158;1069527;6,9;524;18110;647304;47061;600243;2522199;158337;2363862;3,9;3,4;3,9;128348;927947;7,2;524;19564;1100900;171046;929854;3478953;449558;3029395;3,16009901;2,628287127;3,257925438;198460;1203620;6,1;519;19345;1045505;164950;880555;3351972;448743;2903229;3,206079359;2,720478933;3,297044478;184202;1162421;6,3
9181;    Landsberg am Lech (Lkr);41;1656;121932;25601;96331;276697;49584;227113;2,3;1,9;2,4;2484;45272;18,2;40;1862;130134;23273;106861;306526;44765;261761;2,4;1,9;2,4;1983;38063;19,2;39;1770;71558;6503;65055;196683;14531;182152;2,7;2,2;2,8;–;–;–;38;1774;75144;5531;69613;210744;11725;199019;2,8;2,1;2,9;–;–;–;40;1885;116872;14518;102354;292854;26816;266038;2,505766993;1,847086376;2,599194951;–;–;–;38;1813;128059;17200;110859;315255;33140;282115;2,461794954;1,926744186;2,544809172;–;–;–
9182;    Miesbach (Lkr);383;14527;751918;93202;658716;2326373;217062;2109311;3,1;2,3;3,2;49764;296085;5,9;377;14524;753944;88245;665699;2305010;188769;2116241;3,1;2,1;3,2;50285;300966;6;356;13306;464651;37021;427630;1659106;81771;1577335;3,6;2,2;3,7;40541;262488;6,5;350;13039;419811;35001;384810;1565302;80130;1485172;3,7;2,3;3,9;35678;243993;6,8;356;14254;677809;69331;608478;2138011;152996;1985015;3,154297155;2,206747342;3,262262563;48519;298885;6,2;361;14873;741335;79866;661469;2269697;179058;2090639;3,061634754;2,241980317;3,160600119;48153;282092;5,9
9183;    Mühldorf a.Inn (Lkr);45;1532;89035;12376;76659;190835;25105;165730;2,1;2;2,2;–;–;–;44;1563;89308;11905;77403;192941;26151;166790;2,2;2,2;2,2;–;–;–;40;1352;39760;4261;35499;101023;14529;86494;2,5;3,4;2,4;–;–;–;42;1514;42308;4308;38000;116425;14455;101970;2,8;3,4;2,7;–;–;–;44;1566;70387;9729;60658;176661;28282;148379;2,509852672;2,906979135;2,446157143;–;–;–;46;1584;81729;10996;70733;185085;25258;159827;2,264618434;2,297017097;2,259581808;–;–;–
