;;Monatsber.i.Verarb.Gew.,Bergb.u.Gewnn.v.Stein.u.E.;;;Gewerbeanzeigenstatistik;;Monatsber.i.Verarb.Gew.,Bergb.u.Gewnn.v.Stein.u.E.;;;Gewerbeanzeigenstatistik;;Monatsber.i.Verarb.Gew.,Bergb.u.Gewnn.v.Stein.u.E.;;;Gewerbeanzeigenstatistik;;Monatsber.i.Verarb.Gew.,Bergb.u.Gewnn.v.Stein.u.E.;;;Gewerbeanzeigenstatistik;;Monatsber.i.Verarb.Gew.,Bergb.u.Gewnn.v.Stein.u.E.;;;Gewerbeanzeigenstatistik;;Monatsber.i.Verarb.Gew.,Bergb.u.Gewnn.v.Stein.u.E.;;;Gewerbeanzeigenstatistik;;Monatsber.i.Verarb.Gew.,Bergb.u.Gewnn.v.Stein.u.E.;;;Gewerbeanzeigenstatistik;
;;Verarbeitende Betriebe;Beschäftigte in Verarbeitenden Betrieben;Bruttoentgelte;Gewerbeanmeldungen;Gewerbeabmeldungen;Verarbeitende Betriebe;Beschäftigte in Verarbeitenden Betrieben;Bruttoentgelte;Gewerbeanmeldungen;Gewerbeabmeldungen;Verarbeitende Betriebe;Beschäftigte in Verarbeitenden Betrieben;Bruttoentgelte;Gewerbeanmeldungen;Gewerbeabmeldungen;Verarbeitende Betriebe;Beschäftigte in Verarbeitenden Betrieben;Bruttoentgelte;Gewerbeanmeldungen;Gewerbeabmeldungen;Verarbeitende Betriebe;Beschäftigte in Verarbeitenden Betrieben;Bruttoentgelte;Gewerbeanmeldungen;Gewerbeabmeldungen;Verarbeitende Betriebe;Beschäftigte in Verarbeitenden Betrieben;Bruttoentgelte;Gewerbeanmeldungen;Gewerbeabmeldungen;Verarbeitende Betriebe;Beschäftigte in Verarbeitenden Betrieben;Bruttoentgelte;Gewerbeanmeldungen;Gewerbeabmeldungen
;;Anzahl;Anzahl;Tsd. EUR;Anzahl;Anzahl;Anzahl;Anzahl;Tsd. EUR;Anzahl;Anzahl;Anzahl;Anzahl;Tsd. EUR;Anzahl;Anzahl;Anzahl;Anzahl;Tsd. EUR;Anzahl;Anzahl;Anzahl;Anzahl;Tsd. EUR;Anzahl;Anzahl;Anzahl;Anzahl;Tsd. EUR;Anzahl;Anzahl;Anzahl;Anzahl;Tsd. EUR;Anzahl;Anzahl
9362;    Regensburg (Krfr.St);68;32262;2296236;1329;1043;66;33100;2413013;1319;1109;66;30147;2165845;1473;1332;67;29238;2027274;1177;904;67;28283;1978942;1478;1124;69;28045;2073135;1315;1006;69;28896;2195250;1623;1191
9363;    Weiden i.d.OPf. (Krfr.St);40;5452;152135;293;302;44;5493;156761;306;280;44;5472;159942;362;292;46;5381;151383;296;239;46;5175;158393;360;257;44;5062;167363;351;285;43;4937;166881;398;302
9371;    Amberg-Sulzbach (Lkr);64;8319;356902;735;718;62;8435;372704;677;685;63;8639;393536;699;608;68;8622;384237;755;613;67;8490;380646;817;636;66;8633;397725;739;604;64;8406;402736;743;629
9372;    Cham (Lkr);97;17663;629418;932;815;103;18436;667638;874;819;106;18956;694271;924;809;109;18132;666447;973;827;115;18436;682646;1072;759;121;19219;743932;984;761;122;19475;807394;957;825
9373;    Neumarkt i.d.OPf. (Lkr);102;13836;522647;1037;919;105;14457;561796;1048;894;111;15072;600056;1096;885;118;14679;585498;1157;846;120;14507;602750;1194;882;121;14915;633790;1180;866;121;14908;660136;1143;882
9374;    Neustadt a.d.Waldnaab (Lkr);80;11050;424367;608;504;78;11629;463324;594;523;81;12058;486658;634;549;86;11591;462874;709;521;90;11601;484628;762;536;91;12199;522970;711;526;94;12791;569701;750;562
9375;    Regensburg (Lkr);67;12419;643885;1460;1300;70;13001;696112;1438;1316;73;13142;710483;1614;2238;78;13168;665171;1399;1130;81;13083;698875;1354;1281;81;13693;735198;1351;1213;79;13966;814855;1758;1368
9376;    Schwandorf (Lkr);124;19085;727654;1132;975;123;19672;769485;1173;1010;123;19396;785000;1165;942;126;18817;747199;1233;911;134;19504;803955;1380;914;131;19961;848090;1096;917;131;20622;922677;1172;874
9377;    Tirschenreuth (Lkr);60;9904;376140;485;422;65;10528;410648;445;422;64;10769;432254;517;423;66;10787;437492;547;432;71;11449;460144;598;446;71;11761;501422;568;420;70;11900;509371;573;456
9461;    Bamberg (Krfr.St);41;14668;644693;663;735;41;15026;674643;667;711;42;14869;680973;712;707;43;14044;602055;600;588;43;13720;599238;651;580;44;13605;617897;677;816;43;13881;663221;675;1176
9462;    Bayreuth (Krfr.St);42;5900;258837;603;630;43;5949;251891;671;556;44;5944;253551;590;549;44;5629;235262;556;483;43;5603;245022;643;439;40;5665;257825;597;561;39;5667;267645;592;541
9463;    Coburg (Krfr.St);28;8304;413279;283;296;28;8448;436677;288;289;28;8699;447411;294;287;28;8262;412944;334;257;27;7945;433215;337;265;27;7692;424870;355;307;26;7857;463591;355;294
