Volkszählung am 25. Mai 1987, Zensus am 9. Mai 2011 und 15. Mai 2022;;;;;;;;;;;;;;;;;;;
;Gemeinden (einschl. gemeindefreie Gebiete);;;;;;;;;;;;;;;;;;
;;25.05.1987;;;;;;09.05.2011;;;;;;15.05.2022;;;;;
;;Bevölkerung;Bevölkerung;;;Privathaushalte;Einpersonenhaushalte;Bevölkerung;Bevölkerung;;;Privathaushalte;Einpersonenhaushalte;Bevölkerung;Bevölkerung;;;Privathaushalte;Einpersonenhaushalte
;;;Religionszugehörigkeit;;Nationalität;;;;Religionszugehörigkeit;;Nationalität;;;;Religionszugehörigkeit;;Nationalität;;
;;;Römisch-katholische Kirche;Evangelische Kirche (einschließlich Freikirchen);Ausländer;;;;Römisch-katholische Kirche;Evangelische Kirche (einschließlich Freikirchen);Ausländer;;;;Römisch-katholische Kirche;Evangelische Kirche (einschließlich Freikirchen);Ausländer;;
;;;;;;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
9278;Straubing-Bogen (Lkr);81062;75606;4217;659;27348;5059;95852;78.347;6.751;2.500;37716;8771;102067;72683;6595;8278;42766;12417
9279;Dingolfing-Landau (Lkr);75517;68449;4748;1635;26842;5570;90156;67.616;7.731;4.029;36505;9594;98561;62061;6641;12937;42779;14412
9361;Amberg (Krfr.St);42570;33308;7437;1687;18714;6550;41911;25.963;8.124;2.404;20572;8646;41876;21508;7059;5219;22071;10656
9362;Regensburg (Krfr.St);118625;94132;16421;5677;63950;30916;135403;77.060;19.479;13.532;80276;42293;145901;63383;16805;27063;88361;51795
9363;Weiden i.d.OPf. (Krfr.St);42100;32627;7927;1120;18600;6550;41746;26.318;7.622;2.388;21453;9455;42047;21883;6379;5847;22201;11194
9371;Amberg-Sulzbach (Lkr);94617;71031;21925;1194;33642;7156;103901;68.770;23.698;2.710;43373;12410;103243;59886;21314;6911;46366;16003
9372;Cham (Lkr);121401;114386;5254;784;43366;9829;125689;108.785;6.522;2.628;52204;15101;126660;98249;5682;8684;56247;20082
9373;Neumarkt i.d.OPf. (Lkr);105346;87928;14076;2105;35184;6641;126436;90.409;17.969;5.025;49925;13075;136136;83523;16861;13235;57372;18656
9374;Neustadt a.d.Waldnaab (Lkr);91792;79231;10856;1382;33072;7318;96316;75.033;12.705;2.302;39839;11065;95187;66614;11427;5201;42230;14457
9375;Regensburg (Lkr);144292;127962;11840;2524;52641;10866;182289;136.025;17.927;6.338;75806;19902;190526;118800;16107;18049;84083;27924
9376;Schwandorf (Lkr);131260;119829;8832;1382;48250;10674;142407;113.071;11.979;4.268;60125;17773;147256;99644;10989;13915;65901;23702
9377;Tirschenreuth (Lkr);77865;69034;7384;933;29116;7115;74867;61.235;7.565;1.603;32317;9880;72531;53620;6970;3974;33448;12481
9461;Bamberg (Krfr.St);69100;52074;13288;2810;33261;14039;70635;40.190;13.699;5.429;39014;18671;72764;32053;11865;10771;41075;22483
9462;Bayreuth (Krfr.St);69813;20104;44911;2783;34582;14941;70808;18.269;35.498;5.237;38112;18346;72289;16052;29610;9545;40584;22440
9463;Coburg (Krfr.St);42909;9716;29457;2058;20589;8503;41023;8.128;21.876;2.567;21556;9580;40296;6546;16632;5057;22443;11573
9464;Hof (Krfr.St);51108;11316;34621;3993;23906;8941;44759;8.414;23.176;4.232;23583;10667;45598;7083;18495;8752;24151;12298
9471;Bamberg (Lkr);119829;102447;15253;1409;40526;7130;143610;105.883;20.615;3.114;59084;15835;146853;92710;19483;8405;64913;21613
9472;Bayreuth (Lkr);96772;39048;54819;1268;35872;8200;105395;37.977;53.824;2.179;45335;13076;102845;33542;47031;4807;47114;16616
9473;Coburg (Lkr);82033;15534;63034;2015;31425;6989;87775;15.684;56.462;2.489;38061;11219;84106;12958;45650;4869;39367;14520
9474;Forchheim (Lkr);97433;67284;25207;3142;34891;7493;112738;65.429;27.575;4.439;47737;13888;114953;55940;24792;8554;51718;18106
9475;Hof (Lkr);105628;17591;83172;2749;44522;12958;99371;15.119;67.791;3.134;45457;14854;92878;12696;55362;6197;44597;17481
9476;Kronach (Lkr);75353;47479;26303;1108;28399;6308;69928;39.341;22.881;1.674;30191;8898;65099;33213;19085;3950;30397;11096
9477;Kulmbach (Lkr);73055;20845;49321;1357;28476;7169;74071;19.245;44.052;1.726;33191;10823;71505;16359;37536;4534;33989;13319
9478;Lichtenfels (Lkr);65602;45570;18502;1033;24315;5815;67297;40.130;18.818;1.779;28811;8738;67373;35202;16634;5018;30809;11325
9479;Wunsiedel i.Fichtelgebirge (Lkr);87941;26418;56239;3564;38331;11790;76044;20.339;42.343;3.384;36383;12851;70884;16434;34130;6390;35379;15155
9561;Ansbach (Krfr.St);36970;10726;24162;1495;16231;5644;39491;9.536;20.858;2.396;19494;8087;39601;7824;16804;6196;20249;9787
9562;Erlangen (Krfr.St);99808;40398;45846;8989;50970;23646;103719;32.179;34.376;12.367;58036;28936;112220;27300;28064;22959;62304;33236
9563;Fürth (Krfr.St);97480;31830;51112;10425;45683;16749;115613;28.634;42.908;15.324;57376;23776;130126;25403;36549;26048;64654;29817
9564;Nürnberg (Krfr.St);470943;172333;221315;53537;235304;99180;486314;133.052;155.264;79.585;254869;119143;522611;108864;123059;126388;271598;139295
9565;Schwabach (Krfr.St);33539;12021;18196;1910;14506;4285;38469;11.345;15.716;3.002;17786;6309;40865;9409;13265;5674;19515;8003
9571;Ansbach (Lkr);157632;44368;108046;3235;54188;11860;178353;44.415;108.476;6.918;72716;20342;185731;40660;97709;18079;81490;28153
9572;Erlangen-Höchstadt (Lkr);106113;53965;44582;3755;39343;8350;130395;53.572;46.539;6.532;55264;15093;137484;45553;40210;13191;61406;20968
9573;Fürth (Lkr);93861;28203;57445;3633;38297;9458;112786;28.315;55.302;5.092;50759;15471;117191;23728;46680;10225;54596;20040
9574;Nürnberger Land (Lkr);149127;49393;86427;7033;58998;14815;163967;44.750;78.233;8.531;73219;22907;168700;37722;66801;16121;78253;29248
9575;Neustadt a.d.Aisch-Bad Windsheim (Lkr);85686;18304;64529;1764;30536;6781;97475;19.139;63.910;3.122;40098;11038;100023;16925;55506;9126;44229;15383
9576;Roth (Lkr);103944;51799;46198;2723;37544;7709;123344;51.155;47.395;4.306;51397;13758;127255;44126;42194;9814;56073;18777
9577;Weißenburg-Gunzenhausen (Lkr);86381;28121;54373;2714;31768;7808;92371;26.832;51.363;4.365;38963;11914;94124;24033;44601;10032;41860;15524
9661;Aschaffenburg (Krfr.St);60964;44434;10123;5222;27397;9513;67359;34.586;10.712;7.949;33105;13292;71692;27923;8812;13145;36661;17344
9662;Schweinfurt (Krfr.St);51962;28965;17014;4236;24985;9715;52143;21.710;15.023;5.758;25920;11154;53242;17004;11306;10618;27664;14048
9663;Würzburg (Krfr.St);123378;85371;29472;5039;63524;30382;124297;64.020;27.606;9.688;71218;36882;131318;52044;24162;17802;76487;41883
9671;Aschaffenburg (Lkr);152367;126443;16552;7275;57009;11435;172612;113.686;19.564;10.528;73383;19941;170549;89482;16343;17461;78122;27635
9672;Bad Kissingen (Lkr);99022;79838;16638;1260;37736;9698;104020;72.177;18.487;2.515;45780;14333;103047;61005;16035;7361;47987;18200
9673;Rhön-Grabfeld (Lkr);77197;59096;15866;1084;27620;6138;80829;53.105;18.237;1.696;34138;9663;79114;44951;15672;4870;35887;12818
9674;Haßberge (Lkr);80257;57239;21715;754;27571;5359;84575;53.884;22.032;1.732;34742;9319;83123;46490;19397;4435;36760;12380
9675;Kitzingen (Lkr);79304;42741;34183;1705;28875;6741;87719;41.162;33.338;3.618;37303;10989;90400;35370;28732;9496;40964;14949
9676;Miltenberg (Lkr);114255;91275;13598;8693;42053;9025;128406;83.032;15.589;10.507;54150;14940;126496;67293;13371;14578;57309;20142
9677;Main-Spessart (Lkr);122047;99388;18333;2987;44337;9536;127508;88.248;19.302;5.178;54672;15863;125045;73343;16526;9807;57424;20617
