;;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;;;;;;;;;;;;
;;2017;2017;2017;2017;2017;2017;2017;2017;2018;2018;2018;2018;2018;2018;2018;2018;2019;2019;2019;2019;2019;2019;2019;2019;2020;2020;2020;2020;2020;2020;2020;2020
;;Veräußerungsfälle;;Veräußerte Fläche;;Verkaufspreis;;Durchschnittlicher Kaufwert von Bauland, EUR je qm;;Veräußerungsfälle;;Veräußerte Fläche;;Verkaufspreis;;Durchschnittlicher Kaufwert von Bauland, EUR je qm;;Veräußerungsfälle;;Veräußerte Fläche;;Verkaufspreis;;Durchschnittlicher Kaufwert von Bauland, EUR je qm;;Veräußerungsfälle;;Veräußerte Fläche;;Verkaufspreis;;Durchschnittlicher Kaufwert von Bauland, EUR je qm;
;;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land
;;Anzahl;Anzahl;1000 qm;1000 qm;Tsd. EUR;Tsd. EUR;EUR/qm;EUR/qm;Anzahl;Anzahl;1000 qm;1000 qm;Tsd. EUR;Tsd. EUR;EUR/qm;EUR/qm;Anzahl;Anzahl;1000 qm;1000 qm;Tsd. EUR;Tsd. EUR;EUR/qm;EUR/qm;Anzahl;Anzahl;1000 qm;1000 qm;Tsd. EUR;Tsd. EUR;EUR/qm;EUR/qm
9184;    München (Lkr);335;295;434;279;438238;392088;1009,71;1405,43;360;314;524;328;639423;558933;1220,96;1703,03;302;267;453;248;564290;410227;1247;1655,62;312;286;545;230;646367;457035;1186,72;1985,03
9185;    Neuburg-Schrobenhausen (Lkr);330;279;317;208;46205;38931;145,92;186,78;243;207;238;168;42673;39183;179,29;232,66;176;151;232;148;33582;29358;144,69;198,37;350;316;441;252;78981;63661;178,93;253,03
9186;    Pfaffenhofen a.d.Ilm (Lkr);342;287;638;211;90280;65115;141,42;308,9;203;160;308;147;60668;47827;196,85;324,83;192;160;276;124;63090;48028;228,72;386,45;197;179;252;141;70964;57857;282,03;411,12
9187;    Rosenheim (Lkr);396;294;483;297;149592;130386;309,75;438,73;336;261;389;249;132458;116552;340,46;468,95;343;281;459;235;152421;132014;331,99;562,73;339;284;424;276;161016;151040;380;547,1
9188;    Starnberg (Lkr);194;167;209;160;193945;187242;927,31;1168,65;247;222;301;245;271594;260231;901,39;1062,08;207;181;286;199;275775;251379;965,2;1262,32;255;239;318;274;330925;312878;1040,71;1142,04
9189;    Traunstein (Lkr);203;150;350;158;52925;42972;151,14;272,76;193;157;252;171;55062;49362;218,89;287,85;215;170;322;182;83029;70935;258,03;390;209;169;252;157;80134;74507;317,72;473,4
9190;    Weilheim-Schongau (Lkr);236;196;279;176;58856;51069;211,07;290,6;240;202;350;175;76851;62286;219,69;355,04;374;310;524;287;149310;125988;284,72;439,67;171;154;221;131;66135;53965;299,31;411,33
9261;    Landshut (Krfr.St);64;57;76;52;31530;28735;415,44;550,38;56;46;92;51;38753;30184;420,48;595,64;60;50;107;51;45968;34841;429,13;687,2;73;67;100;72;70548;66293;709,01;917,22
9262;    Passau (Krfr.St);78;65;151;86;14311;12431;94,79;144,49;52;39;108;41;13123;10425;121,52;256,62;86;72;91;60;15171;13029;166,16;216,17;52;44;131;112;18158;16826;138,12;150,49
9263;    Straubing (Krfr.St);72;61;128;90;21813;18383;170,15;204,84;40;38;142;125;23441;.;165,35;.;43;35;177;24;17400;6527;98,38;272,07;46;42;83;31;12879;8081;154,42;261,53
