;;Lohn- und Einkommensteuerpflichtige;Gesamtbetrag der Einkünfte;Lohn- und Einkommensteuer;Lohn- und Einkommensteuerpflichtige;Gesamtbetrag der Einkünfte;Lohn- und Einkommensteuer;Lohn- und Einkommensteuerpflichtige;Gesamtbetrag der Einkünfte;Lohn- und Einkommensteuer;Lohn- und Einkommensteuerpflichtige;Gesamtbetrag der Einkünfte;Lohn- und Einkommensteuer;Lohn- und Einkommensteuerpflichtige;Gesamtbetrag der Einkünfte;Lohn- und Einkommensteuer;Lohn- und Einkommensteuerpflichtige;Gesamtbetrag der Einkünfte;Lohn- und Einkommensteuer;Einkommensgrößenklassen;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;0 bis  unter 5000 EUR;;;5000 bis unter 10000 EUR;;;10000 bis unter 15000 EUR;;;15000 bis unter 20000 EUR;;;20000 bis unter 25000 EUR;;;25000 bis unter 30000 EUR;;;30000 bis unter 35000 EUR;;;35000 bis unter 50000 EUR;;;50000 EUR und mehr;;
;;;;;;;;;;;;;;;;;;;;Lohn- und Einkommensteuerpflichtige;Gesamtbetrag der Einkünfte;Lohn- und Einkommensteuer;Lohn- und Einkommensteuerpflichtige;Gesamtbetrag der Einkünfte;Lohn- und Einkommensteuer;Lohn- und Einkommensteuerpflichtige;Gesamtbetrag der Einkünfte;Lohn- und Einkommensteuer;Lohn- und Einkommensteuerpflichtige;Gesamtbetrag der Einkünfte;Lohn- und Einkommensteuer;Lohn- und Einkommensteuerpflichtige;Gesamtbetrag der Einkünfte;Lohn- und Einkommensteuer;Lohn- und Einkommensteuerpflichtige;Gesamtbetrag der Einkünfte;Lohn- und Einkommensteuer;Lohn- und Einkommensteuerpflichtige;Gesamtbetrag der Einkünfte;Lohn- und Einkommensteuer;Lohn- und Einkommensteuerpflichtige;Gesamtbetrag der Einkünfte;Lohn- und Einkommensteuer;Lohn- und Einkommensteuerpflichtige;Gesamtbetrag der Einkünfte;Lohn- und Einkommensteuer
;;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Tsd. EUR;Tsd. EUR
9183;    Mühldorf a.Inn (Lkr);56989;2232516;378102;57958;2355283;408550;58554;2448640;418475;59706;2591076;443996;60362;2722953;470674;60674;2757214;476194;6279;10084;350;3162;24138;510;4439;56108;1359;4652;81237;3883;4419;99556;6614;4618;127073;10631;4749;154270;16038;11132;465209;59440;17224;1739539;377370
9184;    München (Lkr);177779;10670054;2562975;180708;11210497;2683949;183916;11750622;2876334;186132;12259051;2983280;188667;13164980;3265116;187109;13305612;3339803;18189;29003;2826;9157;69066;2454;10807;135706;5094;11438;200210;11556;11182;251828;18929;11266;309850;28579;11184;363123;39989;28044;1177998;162319;75842;10768827;3068057
9185;    Neuburg-Schrobenhausen (Lkr);48906;1994819;346739;49851;2092488;361963;50219;2171783;377347;50572;2344455;423354;51133;2386721;419406;51205;2407519;424934;5431;8214;133;2388;18172;563;3374;42431;905;3297;57487;2908;3432;77346;5314;3741;103112;8739;3877;126062;13169;9440;394948;50877;16225;1579747;342326
9186;    Pfaffenhofen a.d.Ilm (Lkr);65558;3002011;565722;66691;3140832;592433;67622;3267009;615183;68657;3430683;648497;69207;3552412;670008;68969;3577100;675210;6383;11311;928;3411;26015;515;4483;56405;1390;4428;77314;3866;4538;102302;7010;4851;133700;11562;4898;158904;16418;11693;490031;64077;24284;2521118;569443
9187;    Rosenheim (Lkr);129516;5648461;1055224;131499;5891415;1108160;133290;6166883;1158327;135343;6485519;1227858;136817;6834197;1305952;136947;6876127;1303083;12833;21647;900;7110;54419;1663;9518;119321;2982;9835;171946;8670;9980;224676;17851;10279;282788;24761;10209;331579;35405;24319;1018337;130561;42864;4651413;1080290
9188;    Starnberg (Lkr);70377;4835025;1259832;71276;4869421;1247484;71867;5097969;1320306;72321;5375399;1394514;73103;5516095;1434497;72847;5521819;1444016;6929;11232;2575;3767;28402;2255;4521;56642;2306;4552;79452;5210;4465;100425;7790;4314;118556;10658;4280;138943;14768;10709;450204;61360;29310;4537962;1337095
9189;    Traunstein (Lkr);88287;3533482;607659;89574;3698275;631361;90980;3888020;671529;91805;4082407;708293;92491;4214776;729606;92408;4248283;736408;9673;15448;340;4755;36616;714;6746;85038;1970;6908;120674;6113;6924;155922;10717;7062;194291;16957;6973;226514;25457;17171;717604;91824;26196;2696177;582317
9190;    Weilheim-Schongau (Lkr);69094;2864305;512209;70039;2989618;534849;71086;3152855;568370;72002;3325884;600653;72739;3496325;654946;73020;3526363;643172;7630;12159;1035;3542;27144;573;4969;62633;1448;5124;89451;4303;4967;111954;7962;5282;145361;12485;5378;174807;19085;13096;549377;71750;23032;2353476;524531
9261;    Landshut (Krfr.St);37149;1597780;314515;37794;1675003;329386;38567;1766278;347043;39302;1895897;387353;39660;1948268;387402;39244;1947872;389065;4492;7080;301;2301;17416;342;2881;36468;1053;3056;53338;2757;2957;66486;4754;2886;79394;7186;2724;88229;9195;6436;268614;35958;11511;1330846;327520
9262;    Passau (Krfr.St);26468;922694;161040;26798;959772;165671;27488;1003504;174239;28085;1066531;186365;28333;1111637;195735;27740;1110640;198737;4298;6889;280;2005;15054;278;2256;28243;682;2236;39038;1933;2129;47915;3414;2131;58488;5163;2034;66043;6897;4222;176406;23085;6429;672564;157005
9263;    Straubing (Krfr.St);23841;890304;157364;24199;929841;164756;24706;1013961;190824;24904;1030025;186566;25073;1082624;202467;24797;1047941;185059;2983;4681;116;1456;11028;198;1857;23243;613;2020;35274;1726;2043;45965;3212;2280;62783;5747;2167;70325;7400;4304;179387;23012;5687;615254;143036
9271;    Deggendorf (Lkr);60000;2214680;358998;60711;2363764;389458;61359;2491354;418353;61846;2634420;451752;62347;2740254;476718;62125;2826604;505159;6823;10436;410;3260;25114;405;4808;60463;1358;4615;80599;3805;4657;105201;7182;5010;137927;11895;5214;169263;17379;11342;473689;59795;16396;1763913;402929
9272;    Freyung-Grafenau (Lkr);38851;1253909;177601;39256;1326527;191756;39970;1391680;202268;40335;1476731;217305;40347;1552698;236530;40308;1535614;228525;4444;6140;95;2372;18447;220;3308;41307;819;3271;57111;2598;3267;73578;4954;3642;100272;8571;3661;118865;12152;7589;315155;37628;8754;804741;161487
9273;    Kelheim (Lkr);60779;2428831;412398;61797;2553893;435666;62864;2686217;462252;63511;2835294;487677;64300;2960185;508597;63948;2963699;521596;7205;11592;241;3220;24648;416;4379;54980;1370;4191;73321;3976;4408;99322;6691;5012;138082;11591;5074;165032;16765;11385;475509;59799;19074;1921214;420746
9274;    Landshut (Lkr);78794;3272050;562000;79733;3518338;621257;80945;3615843;628909;82223;3822470;670587;83120;3994076;700994;83732;4001755;699186;8395;13358;296;4047;31032;606;5478;69028;1565;5811;101487;5152;5983;135009;9269;6393;175822;15017;6360;206480;21332;14489;606157;77314;26776;2663382;568636
9275;    Passau (Lkr);93959;3300997;501797;94942;3444955;526643;96249;3645064;564221;97706;3855132;601051;98516;4040296;637403;98307;3962673;625770;10850;17492;792;5838;45090;729;8031;100832;2351;7985;139558;6692;8405;189158;12562;8538;234557;19941;8135;264144;26625;17397;725234;88068;23128;2246609;468010
9276;    Regen (Lkr);38128;1272889;183785;38361;1341595;197410;38892;1394197;205528;39410;1499865;226744;39614;1565335;237301;39428;1562203;236458;4436;6917;104;2060;15873;217;3211;40416;835;3033;52998;2405;3128;70731;4786;3363;92558;7863;3406;110538;11416;7472;311058;38420;9319;861114;170413
9277;    Rottal-Inn (Lkr);59234;2186005;345176;60014;2314264;366755;60433;2397340;382288;61378;2526720;404805;62202;2646794;430506;62076;2697344;441922;6479;10113;437;3451;26496;403;4762;60020;1362;4948;86229;3913;5025;113219;7452;5166;141955;11955;4979;161563;16250;10975;457541;56289;16291;1640208;343861
9278;    Straubing-Bogen (Lkr);49075;1936117;321528;50021;2021968;332628;50439;2118469;350025;50982;2241586;372836;51147;2343489;397619;51445;2333249;386256;5034;8132;139;2500;19157;344;3730;46774;953;3571;62508;2896;3865;87185;5640;3920;107804;9204;4177;135649;13977;9390;392195;48805;15258;1473844;304297
9279;    Dingolfing-Landau (Lkr);55631;2036621;350968;56110;2128565;364092;55306;2195752;378325;55466;2292305;393998;54311;2392992;416413;52693;2332366;397585;6520;11357;216;2806;21283;473;3460;43546;1067;3511;61336;3103;3791;85599;5984;4313;118410;9993;3911;126985;12940;8651;362646;46272;15730;1501205;317537
9361;    Amberg (Krfr.St);21136;784660;132817;21393;807331;135056;21721;847861;142704;21944;889008;149862;21918;943942;165683;21807;901406;153539;2451;3930;308;1258;9551;187;1585;20020;637;1710;29930;1448;1691;38068;2649;1736;47872;4278;1782;57840;6061;4092;170517;22856;5502;523678;115115
9362;    Regensburg (Krfr.St);79002;3259316;637496;81020;3485970;686189;83183;3627257;713476;84139;3835893;758431;84933;3977123;786190;84723;3984441;792944;10539;17466;413;5360;40456;815;6063;75790;2183;6131;107069;5612;5683;127974;9645;5719;157419;14510;5749;186584;20273;14207;596775;83482;25272;2674909;656012
9363;    Weiden i.d.OPf. (Krfr.St);21837;802892;148367;22092;801115;135303;22427;842972;149538;22675;873218;151253;22905;903735;156580;22735;915174;159798;2884;4115;112;1365;10361;242;1735;21860;801;1994;34882;1824;2012;45315;3336;2056;56532;5034;1834;59537;6290;3872;161034;20831;4983;521538;121328
9371;    Amberg-Sulzbach (Lkr);52015;1870027;291008;52310;1945440;301051;53133;2041275;320670;53454;2154039;345148;53326;2241734;358680;53088;2242804;357500;6792;8139;278;2444;18779;351;3577;45050;1055;3500;61143;3004;3646;82228;5629;3916;107722;9222;4228;137263;14430;10241;428935;54175;14744;1353545;269356
9372;    Cham (Lkr);62014;2200770;341717;62750;2332565;360756;63614;2407670;371207;64515;2609608;425698;65159;2669900;420562;64824;2725983;437068;6073;9697;346;3571;27512;374;4977;62221;1244;5141;90032;4090;5575;125961;8395;5865;161291;13731;5781;187765;19089;12344;514164;61602;15497;1547339;328195
9373;    Neumarkt i.d.OPf. (Lkr);66937;2635895;446101;67942;2811771;481647;69151;2905406;489789;69678;3061433;523819;70279;3174233;542622;70290;3259669;569179;8081;10633;309;3377;25975;555;4788;60228;1330;4863;84980;4164;4859;109556;7441;5166;142145;12035;5183;168586;17311;13365;559693;70142;20608;2097872;455891
9374;    Neustadt a.d.Waldnaab (Lkr);46768;1707223;277788;46992;1728726;269000;47442;1830694;288177;47900;1904199;301311;48115;1976184;313113;47968;1985007;315668;5405;6775;133;2362;18135;311;3316;41635;866;3610;63108;3080;3773;85114;5900;4079;112181;9991;3875;125899;13082;9122;381387;47813;12426;1150774;234492
9375;    Regensburg (Lkr);94041;4075048;722329;95671;4320765;773076;97328;4502683;807764;98639;4728424;850680;99221;4882089;875575;98981;4891018;875309;9495;15147;854;4525;34653;568;6604;83243;1867;6360;111107;5526;6667;150153;10236;7378;202814;17203;7120;231235;23351;17748;745933;94873;33084;3316735;720829
9376;    Schwandorf (Lkr);74142;2640843;412750;75050;2762254;430085;76133;2896464;452763;77323;3078251;485573;77856;3227660;517256;77738;3217175;509377;8859;12622;327;3836;29542;566;5618;70852;1682;5633;98647;4935;5766;129953;8820;6286;173210;14850;6418;208406;21416;15006;628297;79075;20316;1865646;377706
9377;    Tirschenreuth (Lkr);36296;1221323;180682;36571;1289461;191302;36801;1351257;206866;37072;1411017;216325;36997;1473161;225671;36691;1471404;224916;4588;5516;94;1804;13834;268;2745;34599;811;2606;45586;2137;2974;67000;4461;2941;80983;6916;3001;97487;10126;7064;295088;36214;8968;831311;163888
9461;    Bamberg (Krfr.St);38748;1469581;272199;39391;1573408;294386;40484;1645122;308116;40702;1719719;319601;41261;1801601;333951;40889;1790866;332708;5472;8619;237;2657;20140;441;3070;38545;963;3287;57256;3016;3054;68548;5039;2915;80084;7436;2932;95098;10284;6599;276224;37434;10903;1146353;267856
9462;    Bayreuth (Krfr.St);37096;1332019;241870;37655;1384787;246006;38236;1440627;263191;39109;1508187;269506;39641;1591185;289359;39066;1586264;284912;6278;9759;479;2706;20338;323;2928;36810;969;2996;52323;2620;3035;68155;4781;2960;81397;7097;2725;88424;9442;6124;255290;33767;9314;973769;225436
9463;    Coburg (Krfr.St);21451;860410;167949;21808;887554;167995;22062;930467;190186;22213;979502;189363;22315;996860;191212;21890;986134;193688;2872;4241;116;1378;10436;295;1628;20517;509;1858;32474;1706;1646;36992;2682;1612;44318;3785;1539;50132;5269;3642;152855;20528;5715;634167;158798
9464;    Hof (Krfr.St);21733;694000;108134;22082;726465;113467;22379;749321;117862;22729;796956;125957;23045;828223;131546;22952;820793;129618;3315;4722;196;1649;12568;225;2012;25295;1463;2236;39110;1826;2189;49287;3396;2104;57609;4816;1761;57019;5668;3356;139757;17218;4330;435427;94809
9471;    Bamberg (Lkr);74229;2795893;444750;74885;2983157;488993;75688;3061229;492352;76480;3220692;522372;77243;3354273;546511;76999;3374512;550005;8389;11850;174;3676;28495;412;5207;65661;1526;5512;96186;4541;5782;130206;9041;6162;169401;14337;6032;195845;20520;14218;595326;74345;22021;2081541;425110
9472;    Bayreuth (Lkr);52211;1896476;293562;52383;1976925;307940;52837;2076889;329678;53331;2173011;343964;53628;2314764;385565;53560;2270108;360124;5826;7772;164;2607;20055;389;3828;48271;1032;4011;70032;3313;4225;95219;6379;4310;118614;10044;4224;137317;14208;9541;398875;49806;14988;1373952;274788
9473;    Coburg (Lkr);42994;1693592;280827;43231;1756755;292541;43747;1803356;302099;44068;1760555;278362;44429;1830096;289708;44357;1814852;286640;4929;7101;124;2169;16513;285;3282;41304;1004;3828;66926;3231;3838;86397;5951;3841;105404;8968;3357;108913;11102;7550;315532;39564;11563;1066762;216412
