;;Rinder;;Milchkühe (2 Jahre und älter);;Schweine;;Mastschweine (50 kg Lebendgewicht und darüber);;Zuchtsauen;;Hühner;;Legehennen (6 Monate und älter);;Masthühner;;Schafe;;Pferde;;Rinder;;Milchkühe (2 Jahre und älter);;Schweine;;Mastschweine (50 kg Lebendgewicht und darüber);;Zuchtsauen;;Hühner;;Legehennen (6 Monate und älter);;Masthühner;;Schafe;;Pferde;;Rinder;;Milchkühe;;Schweine;;Zuchtsauen;;Andere Schweine;;Schafe;;Einhufer;;Hühner;;Legehennen;;Masthühner und -hähne;
;;Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Landwirtschaftliche Betriebe mit Viehhaltung;Tiere;Landwirtschaftliche Betriebe mit Viehhaltung;Tiere;Landwirtschaftliche Betriebe mit Viehhaltung;Tiere;Landwirtschaftliche Betriebe mit Viehhaltung;Tiere;Landwirtschaftliche Betriebe mit Viehhaltung;Tiere;Landwirtschaftliche Betriebe mit Viehhaltung;Tiere;Landwirtschaftliche Betriebe mit Viehhaltung;Tiere;Landwirtschaftliche Betriebe mit Viehhaltung;Tiere;Landwirtschaftliche Betriebe mit Viehhaltung;Tiere;Landwirtschaftliche Betriebe mit Viehhaltung;Tiere
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
9173;    Bad Tölz-Wolfratshausen (Lkr);989;42585;772;17840;42;1191;27;96;3;.;211;6487;211;6379;6;94;116;2309;313;1927;837;42914;639;19163;31;481;7;66;26;212;86;1935;234;1733;204;20457;204;20011;7;413;785;41502;578;18500;29;541;7;61;20;167;115;2407;210;1521;230;25682;228;25514;4;56
9174;    Dachau (Lkr);506;39253;353;10739;116;24819;82;9045;56;2142;118;61641;115;26710;9;34646;48;3293;97;1567;365;36167;233;10472;58;20983;17;753;56;14950;42;2137;71;1458;140;96437;135;53038;13;.;318;33309;187;9455;41;16256;14;481;37;12141;27;2349;61;1360;140;121239;135;77444;14;43573
9175;    Ebersberg (Lkr);624;40976;501;16651;56;6817;40;3051;13;.;207;20284;206;20149;11;110;69;3195;167;2083;490;39579;383;16820;39;5003;6;58;36;4800;53;2471;129;2121;181;44647;178;43301;7;.;429;36585;325;15658;30;4296;6;63;27;3933;53;3084;119;2149;193;59192;192;58025;4;.
9176;    Eichstätt (Lkr);554;27413;426;10089;464;52061;371;16125;204;6213;529;187193;527;18696;16;.;116;8500;103;694;326;21477;243;8223;188;45839;67;3499;170;26434;84;6045;68;718;367;91702;360;28661;17;.;278;19521;194;7378;124;46658;44;3514;113;26943;81;6452;74;785;353;.;348;33298;9;69071
9177;    Erding (Lkr);1341;101930;950;27874;247;70332;165;21621;124;8252;288;196210;286;85360;10;.;90;2268;214;1807;973;94083;646;26810;156;67307;74;6812;138;40422;58;1648;153;1700;280;331043;273;203715;13;.;874;85907;539;24204;111;56527;44;4781;106;34647;66;1518;138;1594;299;312587;294;128094;12;.
9178;    Freising (Lkr);588;35483;360;9663;207;50340;119;12599;142;6717;285;47807;283;41746;13;.;74;3743;177;1699;388;29239;221;7844;105;35319;47;2641;98;20416;71;2544;140;1762;277;58098;275;57268;8;714;330;25734;178;6639;64;23978;28;2028;61;14977;56;2259;120;1654;273;86063;268;71679;14;14064
9179;    Fürstenfeldbruck (Lkr);265;20240;160;4261;54;9254;41;3804;14;567;131;33295;128;30870;15;.;31;2494;101;1406;190;18221;87;3787;35;9340;5;.;34;6366;30;2177;68;1331;113;39482;109;37882;8;.;168;16477;68;3470;28;7723;5;.;25;4195;30;2138;65;1226;128;42379;125;40651;5;.
9180;    Garmisch-Partenkirchen (Lkr);585;16141;412;6476;38;83;27;54;3;6;139;2284;138;2203;4;54;230;5611;219;1449;490;16917;326;7052;27;117;2;.;25;54;156;4705;161;1259;150;4202;150;4189;4;.;477;17130;307;7104;16;66;1;.;16;46;169;4757;157;1129;171;5602;171;5443;3;.
9181;    Landsberg am Lech (Lkr);723;44136;577;18018;103;8308;82;2711;19;450;250;28398;249;21216;9;.;57;5906;213;1745;523;41525;400;17706;60;6584;8;147;53;4677;55;3898;165;1634;206;25598;205;25369;2;.;454;40201;324;16761;45;.;7;.;40;3109;53;2250;151;1500;215;59958;211;40059;6;.
9182;    Miesbach (Lkr);913;36084;765;16543;26;241;14;82;9;47;125;11432;123;9631;8;.;121;3118;295;2118;757;35717;642;17672;21;257;7;15;19;214;81;2736;226;1746;173;17564;171;15687;6;.;730;35443;600;17309;18;178;4;7;14;.;91;2798;228;1882;207;21681;206;21511;5;17
