;;Insgesamt;Dauergrünland;Wiesen (Schnittnutzung);Mähweiden;Ackerland;Getreide;Weizen;Roggen;Wintergerste;Sommergerste;Hülsenfrüchte;Hackfrüchte;Kartoffeln;Gemüse, Spargel, Erdbeeren u.a. Gartengewächse;Handelsgewächse;Winterraps;Pflanzen zur Grünernte;Grünmais/Silomais (einschl. Lieschkolbenschrot);Insgesamt;Dauergrünland;Wiesen (Schnittnutzung);Mähweiden;Ackerland;Getreide;Weizen;Roggen;Wintergerste;Sommergerste;Hülsenfrüchte;Hackfrüchte;Kartoffeln;Gemüse, Spargel, Erdbeeren u.a. Gartengewächse;Handelsgewächse;Winterraps;Pflanzen zur Grünernte;Grünmais/Silomais (einschl. Lieschkolbenschrot);Insgesamt;Dauergrünland;Wiesen (Schnittnutzung);Mähweiden;Ackerland;Getreide;Weizen;Roggen;Wintergerste;Sommergerste;Hülsenfrüchte;Hackfrüchte;Kartoffeln;Gemüse, Spargel, Erdbeeren u.a. Gartengewächse;Handelsgewächse;Winterraps;Pflanzen zur Grünernte;Grünmais/Silomais (einschl. Lieschkolbenschrot);Insgesamt;Dauergrünland;Wiesen (Schnittnutzung);Mähweiden;Ackerland;Getreide;Weizen;Roggen;Wintergerste;Sommergerste;Hülsenfrüchte;Hackfrüchte;Kartoffeln;Gemüse, Spargel, Erdbeeren u.a. Gartengewächse;Handelsgewächse;Winterraps;Pflanzen zur Grünernte;Grünmais/Silomais (einschl. Lieschkolbenschrot)
;;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha
9174;    Dachau (Lkr);37070,65;5909,29;5235,07;267,2;31055,98;17057,32;9239,17;299,88;2567,65;2318,43;261,39;2247,97;1383,38;336,85;2734,12;2573,74;7141,01;5567,21;36632,99;5559,88;4824,05;559,34;30967,45;17763,93;9807,75;282,02;2244,06;2343,32;361,69;2237,02;1386,1;337,12;2153,96;1900,43;7721,67;6078,14;36714;5510;4819;568;31097;16945;9784;.;1977;2264;.;2323;1412;466;1485;1324;8937;7011;36497;.;4703;704;30800;16476;8516;186;1752;2940;767;2900;1785;551;1175;904;8573;6497
9175;    Ebersberg (Lkr);26281,9;10951,99;9791,86;818,08;15294,54;7260,86;2449,8;114,19;860,56;1985,98;152,19;595,38;526,16;279,55;901,17;868,54;5627,9;3823,43;25150,02;10281,07;9164,93;1071,47;14837,92;7114,16;2594,98;78,57;715,03;1769,69;146,83;500,17;473,37;288,81;651,04;530,63;5914,89;4304,94;24830;9846;8589;1222;14965;7108;2698;53;820;1716;260;377;348;245;545;.;6299;4503;24384;.;8358;1420;14536;6819;2543;68;820;1669;412;359;335;228;444;362;6139;4429
9176;    Eichstätt (Lkr);56115,52;7148,19;5934,19;141,51;48914,21;29307,87;15724,1;418,44;8091,75;2830,87;413,83;4028,37;1146,29;164,09;7024,01;6151,22;5001,7;3130,01;55330,2;6711,38;5506,54;354,48;48565,64;30077,57;17352,89;578,95;6882,67;2342,07;521,81;4036,44;1286,92;119,35;7145,09;6226,13;5298,71;3462,85;55134;6996;5689;449;48086;30050;17143;355;6927;2238;731;3755;1101;.;5647;4643;6387;4309;53558;6970;5560;629;46543;28130;15367;495;6328;2171;1236;3886;1031;158;5616;4306;5954;3604
9177;    Erding (Lkr);59682,14;13862,83;12624,26;673,88;45751,1;23618,38;12839,09;191,38;4041,59;1219,84;204,48;1648,97;1225,91;347,87;3021,04;2884,46;15417,02;13189,72;59120,57;13041,9;11663,48;1283,46;46018,06;24844,66;13734,59;358,7;3547,49;888,34;255,72;1583,82;1235,04;301,69;2131,61;1988,68;16269,1;13866,3;58798;12734;11420;1263;46019;23563;13027;142;3239;783;.;1722;1397;380;1727;1583;17579;14458;58557;12769;11443;1282;45744;23245;12204;203;3467;1093;929;1966;1567;435;1671;1460;17012;14050
9178;    Freising (Lkr);49046,3;8486,19;7078,73;816,73;40376,2;22538,14;10928,73;473,46;4529,94;1993,79;286,8;1036,71;737,52;309,54;6941,96;4732,81;6413,18;4668,36;47871,59;7867,27;6298,52;1441,36;39826,1;23783,63;11576,74;493,66;4023,2;1786,05;309,9;964,37;637,83;288,17;6326,02;3935,51;6524,75;4856,56;46950;8219;6602;1404;38561;23798;11450;385;4058;1643;.;860;559;321;5217;2973;6453;4817;45832;8003;6381;1485;37655;22785;10667;326;3648;1542;1492;967;655;303;4591;2099;6418;4471
9179;    Fürstenfeldbruck (Lkr);23140,78;4689,99;3850,77;467,44;18331,01;10942,16;5304,18;402,92;1527,92;1927,21;173,37;812,5;542,16;61,93;2195,1;2077,06;3182,45;2459,46;22121,03;4348,78;3626,43;679,45;17656,27;11048,02;5502,7;.;1305,55;1596,39;256,79;873,76;637,09;66,76;1647,6;1491,19;3440,17;2622,73;22044;4525;3698;747;17385;10396;5502;316;1392;1397;492;935;688;73;1038;995;4188;3379;21680;4521;3692;786;17029;9705;4799;200;1386;1703;636;1063;793;92;988;860;4304;3170
9180;    Garmisch-Partenkirchen (Lkr);15293,72;15166,9;6128,34;5249,02;112,24;36,15;3,51;.;.;.;–;1,1;1,1;.;–;–;48,83;30,48;15134,76;15027,39;4686,82;7983,68;98,57;29,29;6,77;.;.;.;–;.;.;1,49;.;–;66;55,29;15139;.;4038;8370;186;55;30;.;14;–;.;1;1;.;.;–;121;58;18043;17823;4527;10542;.;70;27;.;12;–;–;1;1;.;.;–;139;88
9181;    Landsberg am Lech (Lkr);38437,23;17906,17;13866,6;2646,28;20422,18;11158,16;5471,62;284,89;2099,27;1588,88;253,05;794,65;297,41;143,7;1770,13;1743,67;5635,98;3641,06;37157,97;16880,53;12316,71;4098,2;20190,41;10917,78;5573,9;322,74;2010,44;1210,92;216,84;757,7;346,09;163,57;1395,75;1331,8;6527,76;4614,79;36371;16168;11155;4575;20100;10144;5384;150;2107;905;289;702;292;164;1149;1101;7455;5105;36455;16156;11203;4563;20190;10079;5072;151;2083;1351;477;777;278;137;914;855;7589;5355
9182;    Miesbach (Lkr);27299,54;25910,45;5396,16;14674,13;1380,85;433,5;126,05;–;45,41;121,9;16,5;4,43;.;10,83;22,76;16,64;870,5;461,58;26343,12;24756,11;4479,42;19651,38;1582,79;484,84;164,28;13,68;.;.;10,16;.;.;7,19;14,1;.;1048,29;651,19;25612;23765;4326;18872;1846;464;176;.;.;.;.;4;.;8;24;.;1328;687;25638;23597;4922;18087;2041;490;167;–;65;125;15;3;–;9;18;13;1494;785
9183;    Mühldorf a.Inn (Lkr);50207,72;15845,35;14180,93;1087,76;34317,7;17007,86;8440,75;227,37;2679,98;279,34;228,99;92,66;26,46;30,95;2334,68;2209,18;13791,02;10377,87;48840,17;15202,68;13185,53;1748,2;33603,66;17375,7;8580,93;308,14;2637,21;161,64;278,67;98,16;38,34;16,28;1583,42;1241,88;13735,77;10947,4;47844;14305;12238;1934;33501;16171;8504;191;2638;120;716;83;.;73;1004;936;15255;11691;46953;14077;12025;1993;32824;15010;7564;153;2939;148;927;114;14;54;1139;980;15402;11644
