Gemeinderatswahlen;;;;;;;;;Insgesamt;;;Christlich-Soziale Union in Bayern e.V. (CSU);;;BÜNDNIS 90/DIE GRÜNEN (GRÜNE);;;FREIE WÄHLER Bayern;;;Alternative für Deutschland (AfD);;;Sozialdemokratische Partei Deutschlands (SPD);;;Freie Demokratische Partei (FDP);;;Gemeinsame Wahlvorschläge;;;Wählergruppen;;;sonstige Wahlvorschläge;;
;;Stichtag;;;;;;;Gewichtete Stimmen;Sitze;;Gewichtete Stimmen;Sitze;;Gewichtete Stimmen;Sitze;;Gewichtete Stimmen;Sitze;;Gewichtete Stimmen;Sitze;;Gewichtete Stimmen;Sitze;;Gewichtete Stimmen;Sitze;;Gewichtete Stimmen;Sitze;;Gewichtete Stimmen;Sitze;;Gewichtete Stimmen;Sitze;
;;15.03.2020;15.03.2020;15.03.2020;15.03.2020;;;;;Geschlecht;;;Geschlecht;;;Geschlecht;;;Geschlecht;;;Geschlecht;;;Geschlecht;;;Geschlecht;;;Geschlecht;;;Geschlecht;;;Geschlecht;
;;Wahl-/Stimmberechtigte im Verwaltungsbezirk;Wähler;Gültige Stimmzettel;Ungültige Stimmzettel;;;;;männlich;weiblich;;männlich;weiblich;;männlich;weiblich;;männlich;weiblich;;männlich;weiblich;;männlich;weiblich;;männlich;weiblich;;männlich;weiblich;;männlich;weiblich;;männlich;weiblich
;;Anzahl;;;;;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
9375;    Regensburg (Lkr);154747;103046;101036;2010;;9375;    Regensburg (Lkr);101036;590;142;32050;155;34;6982;21;16;8018;39;4;–;–;–;12267;44;18;748;3;–;17059;90;22;23366;166;48;546;2;–
9376;    Schwandorf (Lkr);117726;76427;74721;1706;;9376;    Schwandorf (Lkr);74721;445;82;24916;124;25;3366;7;6;1298;8;2;1310;4;–;12932;53;16;111;–;–;3844;22;4;25226;191;27;1718;5;2
9377;    Tirschenreuth (Lkr);59216;42691;41989;702;;9377;    Tirschenreuth (Lkr);41989;328;59;18257;141;20;1099;4;4;–;–;–;–;–;–;6215;40;14;–;–;–;1357;13;4;15061;109;17;–;–;–
9461;    Bamberg (Krfr.St);58367;32415;31585;830;;9461;    Bamberg (Krfr.St);31585;40;12;7204;8;2;–;–;–;1075;–;1;1529;2;–;5118;6;1;883;1;–;8542;6;6;5151;6;2;2083;3;–
9462;    Bayreuth (Krfr.St);58945;29677;28898;779;;9462;    Bayreuth (Krfr.St);28898;35;11;6966;7;3;5210;4;4;–;–;–;1132;1;1;5124;7;1;1520;2;–;4429;6;1;4022;5;1;495;1;–
9463;    Coburg (Krfr.St);32268;17467;16947;520;;9463;    Coburg (Krfr.St);16947;31;11;3456;5;3;2611;4;2;–;–;–;569;1;–;3959;5;4;725;2;–;–;–;–;4650;10;2;977;2;–
9464;    Hof (Krfr.St);34778;17138;16679;459;;9464;    Hof (Krfr.St);16679;29;12;6044;11;3;1928;2;3;–;–;–;809;2;–;4123;5;5;433;1;–;2232;4;1;–;–;–;1110;3;–
9471;    Bamberg (Lkr);119016;80128;78312;1816;;9471;    Bamberg (Lkr);78312;506;128;23028;137;36;3280;9;11;1129;4;1;293;1;–;8333;42;16;457;2;–;6349;26;11;35221;220;53;222;1;–
9472;    Bayreuth (Lkr);85407;60015;58708;1307;;9472;    Bayreuth (Lkr);58708;433;88;14556;92;27;2018;8;3;598;1;1;70;–;–;7933;43;16;90;1;–;4625;40;5;28809;207;36;9;–;–
9473;    Coburg (Lkr);66059;43368;42466;902;;9473;    Coburg (Lkr);42466;256;73;8610;45;12;1105;4;2;964;5;2;841;3;–;9176;40;18;88;1;–;4947;28;9;16128;89;30;607;2;–
