Gemeindefinanzen seit 2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Berichtsjahr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Fortschreibung des Bevцlkerungsstandes;;;;
9175;    Ebersberg (Lkr);512051;56627;59673;108968;197633;817;18417;52878;116863;8337;11048;207391;168828;10390;98039;139922;Ц;539439;61825;58197;94247;219811;821;18767;79232;111537;9110;9560;233123;176362;11782;103194;142452;Ц;585566;63776;58653;81096;213625;829;19010;66141;117807;9455;7675;225033;178644;10649;102781;140211;Ц;541013;66159;67105;80650;225333;835;19408;75539;120566;8564;9460;238396;208094;14494;120403;152824;Ц;639256;70853;69175;107724;242088;834;19551;81534;131038;8697;9340;256828;199351;13800;110842;172856;Ц;142974;143895;144272;141919;142905
9176;    Eichstдtt (Lkr);464142;60852;58022;131443;169816;1647;11730;45398;102518;8271;10292;178149;144543;15266;89362;40487;Ц;444598;64815;55898;127650;162064;1656;11990;41282;97846;9038;4862;168625;149332;17635;94272;50994;Ц;445434;70573;53819;116820;174979;1637;12377;47199;104173;9311;5677;183286;154657;16584;95296;49947;Ц;487919;74320;58146;117712;189110;1633;12542;59595;106606;8433;6474;198276;159497;18462;96196;71086;Ц;576404;82225;64054;131454;211343;1631;12518;72458;115866;8564;7958;221042;165450;20936;98079;85220;Ц;132801;132941;133338;133580;134894
9177;    Erding (Lkr);519620;62265;58070;96505;214356;1631;13728;85625;103424;9689;22022;235555;182931;14798;99916;76509;Ц;515771;68277;58975;119929;175100;1633;13969;49930;98711;10587;3107;183611;193078;15202;105822;86168;Ц;528787;71372;57086;99799;200655;1634;14072;67375;105991;11292;9673;214735;201576;14040;107678;101115;Ц;494372;79307;66667;98789;205543;1657;14257;70639;108461;10225;8608;220183;206940;16207;109817;120357;Ц;569497;81310;74693;123576;225966;1860;17217;78307;117882;10384;8201;237022;205359;16580;105201;126271;Ц;137700;138742;139413;137690;139227
9178;    Freising (Lkr);643896;102517;74393;124113;287779;1418;19663;110148;136130;20004;22685;300217;251064;12658;138342;88690;Ц;708811;113169;72049;159823;258862;1437;19966;85167;129926;21860;5013;266171;270694;12366;148547;90458;Ц;735360;119124;74432;167747;297596;1434;20125;115550;138474;21537;12899;312557;256676;12852;141841;91403;Ц;708579;125031;83157;177618;337051;1450;20589;153236;141708;19516;18595;356840;278684;14749;154615;167522;Ц;749981;138543;88923;143872;328259;1433;20229;132111;154016;19820;14673;342932;286690;16630;154374;157704;Ц;179433;179937;180258;180339;182531
9179;    Fьrstenfeldbruck (Lkr);533341;103785;81178;86764;301791;590;22481;92613;173885;11720;21691;314425;243339;28084;145914;88372;Ц;590047;116228;81106;111284;288239;583;22733;85642;165961;12807;8261;297295;257726;31692;160530;103969;Ц;588217;119445;75239;103125;324252;586;24018;112358;173593;13102;11895;334451;270292;26782;156878;112682;Ц;633110;124184;85049;117121;331897;599;24342;116833;177669;11868;13439;342074;267825;32865;162242;110530;Ц;676884;133962;92810;123114;348000;589;25259;116383;193101;12053;12242;358148;294903;31812;169715;125528;Ц;219382;219077;218766;214810;216317
9180;    Garmisch-Partenkirchen (Lkr);310988;54735;51034;54358;109141;484;17054;30691;51462;5916;6072;106875;84374;20039;55965;63025;Ц;290762;54705;47784;50239;104327;418;17188;28325;49116;6464;3358;101115;85504;23183;60661;65252;Ц;314456;56870;51265;52093;119028;416;17323;34600;53551;6446;3613;113478;91391;20365;61735;68009;Ц;339901;60724;61520;62408;131382;414;17464;46717;54794;5841;4864;126774;93802;20556;61872;70255;Ц;358639;62756;61055;61990;146142;412;17687;56322;59553;5932;6434;141724;98423;22121;63109;67528;Ц;88213;88377;88396;89291;89490
9181;    Landsberg am Lech (Lkr);394650;58384;45891;68408;174069;962;12628;65199;86226;8229;15814;185957;143193;12869;74582;87917;Ц;441098;64699;48774;80330;164147;960;12730;58558;82296;8992;6386;171336;148329;14879;80724;89531;Ц;478037;66494;52799;88112;188970;975;12939;76458;88218;9429;8543;201259;159094;13372;85257;111210;Ц;528275;70288;52902;113092;198270;962;13087;84460;90275;8539;10913;210997;163746;13692;87956;140489;Ц;522726;77027;61473;94720;218561;970;13325;96179;98117;8672;10395;233092;175192;14263;92659;146877;Ц;120089;120723;121368;119248;120406
9182;    Miesbach (Lkr);370498;53926;52880;56648;163775;633;14300;65387;70794;7929;13804;171548;128162;8347;64528;119135;Ц;363826;55999;49309;52043;161920;627;14974;65184;67568;8664;8440;167383;130662;8909;66781;120883;Ц;393656;57994;60483;62419;177262;632;15108;74927;72230;8887;12603;186015;146113;8029;74457;122029;Ц;404283;59087;54691;72224;198663;635;15154;94127;73915;8049;6729;204801;151470;8692;77742;130992;Ц;536260;62262;63293;91860;195204;643;15160;83667;80336;8175;8227;201885;163273;8393;83148;133702;Ц;99798;99980;100203;96236;96510
9183;    Mьhldorf a.Inn (Lkr);328124;52372;47602;57601;148072;1721;12514;55975;68690;8830;11828;153082;117899;18284;68876;65128;Ц;352858;57971;45013;64201;146941;1759;12710;56919;65559;9649;5731;149695;125673;18614;72734;61830;Ц;385771;60752;48911;90117;163687;1745;13089;67313;71361;9807;7397;169142;129677;17897;72832;68168;Ц;376357;64158;54091;68139;171686;1761;13549;74094;73018;8884;8942;177482;136451;18981;77133;69611;Ц;437338;74307;58488;88214;182916;1790;13411;78937;79360;9022;8419;190040;145886;19105;78012;74681;Ц;115565;116132;117039;119730;120823
9184;    Mьnchen (Lkr);1979404;210918;235212;353430;1102889;531;44605;683223;304033;69725;201617;1409325;1012490;1480;527924;164506;Ц;2146489;239211;240505;414019;1183124;544;44882;770521;290177;76192;104208;1454779;1202472;1547;626264;207370;Ц;2228918;245837;252930;311368;1317211;541;45534;890070;301377;78788;131338;1681587;1162380;329;604172;250508;Ц;2462819;254739;265761;289532;1381344;545;46561;953458;308469;71361;138419;1721917;1346328;1591;701505;320226;Ц;2715512;280047;303178;387751;1330077;549;46556;874252;335262;72472;101268;1666817;1447133;273;752171;326184;Ц;349756;349780;349357;348913;351170
