Landtagswahlen seit 1994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9184;    München (Lkr);201315;146014;292019;288827;143169;–;–;20179;89466;14699;204820;152867;305715;303180;164745;5313;–;23058;81809;8211;216771;137630;275234;272296;155189;7442;–;30300;59250;11366;226046;145290;290557;286268;109423;21744;–;35895;60765;38429;232229;166739;333458;329094;150925;21706;–;32974;79615;18499;233873;185295;370563;367372;119583;34471;26715;87962;39725;31339;232104;178864;357717;354104;135195;38189;30929;74712;32542;18105
9185;    Neuburg-Schrobenhausen (Lkr);62873;41331;82660;81026;49919;–;–;3357;20089;1571;64858;44446;88888;87629;53227;4276;–;3075;20394;1124;67563;38678;77356;75998;54809;3773;–;3560;10106;1099;68995;39216;78432;76891;36544;14049;–;5170;10312;4658;70523;45528;91052;89614;53997;8791;–;4458;13291;1582;71720;51574;103145;101996;39643;22358;11693;10930;6036;3409;72337;53756;107511;106343;36948;27282;18759;9361;4848;2672
9186;    Pfaffenhofen a.d.Ilm (Lkr);75371;51230;102458;100843;62712;–;–;4190;23898;1762;78777;55147;110293;108874;64119;6626;–;4298;24317;1488;84368;49237;98471;97096;64546;5207;–;5153;15187;2094;87419;52941;105881;103916;44229;18926;–;8577;14699;7171;90387;59430;118859;116488;61338;10837;–;6821;22195;3629;92897;68342;136683;135104;51558;17564;17115;17106;11310;9298;93671;70360;140719;139377;49177;29204;22888;13964;10362;3361
9187;    Rosenheim (Lkr);160282;111165;222329;219102;129667;–;–;13224;41368;5301;165866;116889;233770;231139;138880;5155;–;12671;44529;3501;176712;106706;213393;210701;141577;5078;–;17062;30394;4414;183598;112713;225425;221109;98255;19083;–;28409;30518;18702;189141;126556;253107;249188;136177;18705;–;22510;37060;6420;193991;147653;295303;292375;114928;33218;29251;51319;18352;14817;196426;148665;297324;294109;105412;55955;40597;41276;16613;9316
9188;    Starnberg (Lkr);88417;65298;130590;129123;66814;–;–;10297;33064;9258;89318;67597;135192;133899;72930;6661;–;12965;27686;5666;92867;60681;121349;120121;69620;3706;–;15757;19159;7698;94191;62445;124886;123085;45665;8800;–;18551;21756;19739;95465;69405;138797;136667;59789;9958;–;16367;26380;12639;95997;76867;153729;152278;48306;15618;10151;40425;12839;14545;96199;75405;150800;149164;53811;18403;12497;32857;11521;9939
9189;    Traunstein (Lkr);120473;82139;164273;161696;93511;–;–;13366;34956;2963;123685;85435;170866;168464;103071;2888;–;10096;35271;1783;127810;74601;149195;147054;100787;936;–;12826;19796;3067;130170;76713;153426;150242;65083;10932;–;28196;19820;8912;131976;84791;169578;166946;90754;12498;–;18107;24712;3578;133391;97130;194260;191949;76635;20665;17059;35221;14611;6783;133803;98608;197214;194735;70585;39937;25335;25794;12822;4077
9190;    Weilheim-Schongau (Lkr);87711;61605;123208;121167;67018;–;–;8463;29443;2633;90649;65551;131100;129381;72011;3096;–;8247;32028;2176;95573;57850;115682;114042;72212;2463;–;9678;20630;2435;98040;60227;120451;117816;48949;10893;–;12419;20787;10986;99814;68202;136404;133965;66452;10481;–;11119;23934;3934;101752;78831;157660;155688;55010;22417;13247;28873;12257;7206;102670;78780;157559;155748;52618;30330;20075;22488;11317;4504
9261;    Landshut (Krfr.St);45746;29778;59555;58643;31629;–;–;5762;15041;1722;44431;30571;61141;59894;30798;2646;–;6260;15120;1028;45415;24013;48024;47166;27559;3689;–;4673;7712;1107;47013;25947;51894;51073;20878;5400;–;7276;6931;5324;48368;28583;57164;56324;24074;7935;–;7373;8528;2506;49011;33667;67331;66563;18276;10970;6837;13712;5038;4881;48204;32470;64932;64133;19188;13607;8384;10920;5190;2386
9262;    Passau (Krfr.St);39037;24795;49588;49003;25439;–;–;2757;13503;3322;38363;24583;49165;48676;24788;501;–;2688;12947;2315;38388;19133;38262;37719;19656;487;–;2368;9110;1667;38080;19478;38956;38546;16286;1378;–;3496;6785;3783;37656;21555;43107;42568;18307;2616;–;4714;8720;2817;37809;25616;51231;50829;16146;4022;5491;9602;5707;3922;36661;23519;47038;46651;14625;7017;6285;7250;5419;1546
9263;    Straubing (Krfr.St);33827;20305;40610;39970;23526;–;–;1326;9899;697;33300;20068;40136;39592;23459;1923;–;963;9160;159;33772;16451;32898;32357;21429;1410;–;895;5132;446;34186;16802;33603;33061;14974;2474;–;1111;7849;1983;35338;18197;36393;35821;19092;3106;–;1524;6209;1073;34025;20890;41778;41349;17551;4632;5766;5237;2537;1859;33258;20996;41989;41496;16380;7128;7963;4148;2356;912
